HGB4003 19.95  0.15 K1623 359.88742   89.20324   52.77723    6.04177  0.2092634  0.30116363   2.2042848    FO 161023     4   1 51.4 min  0.42         Find_Orb   0000 HGB4003                     20160203
HGB4004 19.68  0.15 K1623 359.68840   45.92751   99.46216    7.53734  0.1999732  0.27109066   2.3644294    FO 161023     4   1 51.5 min  0.83         Find_Orb   0000 HGB4004                     20160203
HGB4005 18.58  0.15 K1623 357.68767   17.07626  131.03157   21.60711  0.0335219  0.35996568   1.9571705    FO 161023     4   1 51.5 min  1.63         Find_Orb   0000 HGB4005                     20160203
HGB4006 19.01  0.15 K162A   0.09563   12.52673  136.11693    5.13816  0.1174534  0.27439509   2.3454085    FO 161023     4   1 58.1 min  0.75         Find_Orb   0000 HGB4006                     20160209
HGB4007 17.39  0.15 K162A   0.09958   21.07746  129.20889    8.70133  0.1858968  0.17876916   3.1208602    FO 161023     4   1 58.1 min  0.04         Find_Orb   0000 HGB4007                     20160209
HGB4008 20.02  0.15 K162A   0.14600  111.40059   36.32587    2.74342  0.2024097  0.26985247   2.3716565    FO 161023     4   1 58.1 min  0.21         Find_Orb   0000 HGB4008                     20160209
HGB4009 21.23  0.15 K162A  24.87149  340.13694  121.84294    5.06390  0.2898398  0.30133784   2.2034351    FO 161023     3   1 38.8 min  0.30         Find_Orb   0000 HGB4009                     20160209
HGB4010 18.97  0.15 K162A   0.09342   77.53987   71.00996    2.68405  0.1429281  0.26260065   2.4151207    FO 161023     3   1 58.1 min  0.16         Find_Orb   0000 HGB4010                     20160209
HGB4011 18.93  0.15 K162A 358.88881   27.97961  122.72630    6.55503  0.0468337  0.26573218   2.3961093    FO 161023     4   1 58.1 min  0.67         Find_Orb   0000 HGB4011                     20160209
JMB0808 18.72  0.15 K162A   0.09021   79.23717   69.11222    0.95582  0.1496554  0.25951497   2.4342272    FO 161023     4   1 58.1 min  0.09         Find_Orb   0000 JMB0808                     20160209
JMB0809 16.17  0.15 K162A 180.10823  324.30253    7.21643    2.32605  0.2169272  0.18878357   3.0094925    FO 161023     4   1 58.1 min  0.21         Find_Orb   0000 JMB0809                     20160209
JMB0810 15.98  0.15 K162A 180.08506  210.09203  120.99570    2.42230  0.0678183  0.18834207   3.0141937    FO 161023     3   1 38.6 min  0.10         Find_Orb   0000 JMB0810                     20160209
JMB0811 16.93  0.15 K162A   0.09530   82.17070   68.19667    2.72561  0.0306514  0.19562366   2.9389247    FO 161023     4   1 58.1 min  0.09         Find_Orb   0000 JMB0811                     20160209
